organization,abbreviation,type,domain,scope,hq_country,founded,url,pep_url,pep_label
Global Environment Facility,GEF,Development bank/IFI,Environment,Global,United States,1991,https://www.thegef.org,https://www.thegef.org/who-we-are/gef-council/members-alternates,Council Members
Global Environment Facility,GEF,Development bank/IFI,Environment,Global,United States,1991,https://www.thegef.org,https://www.thegef.org/who-we-are/organization,Organization governance
Green Climate Fund,GCF,Development bank/IFI,Environment,Global,South Korea,2010,https://www.greenclimate.fund,https://www.greenclimate.fund/boardroom,GCF Board
Green Climate Fund,GCF,Development bank/IFI,Environment,Global,South Korea,2010,https://www.greenclimate.fund,https://www.greenclimate.fund/about/secretariat/management,Management team
Green Climate Fund,GCF,Development bank/IFI,Environment,Global,South Korea,2010,https://www.greenclimate.fund,https://www.greenclimate.fund/about/governance,Governance
Abu Dhabi Fund for Development,ADFD,Development bank/IFI,Finance & development,Global,United Arab Emirates,1971,https://www.adfd.ae,https://www.adfd.ae/en/who-we-are/our-leadership,Our Leadership
African Development Bank,AfDB,Development bank/IFI,Finance & development,Regional,Ivory Coast,1964,https://www.afdb.org,https://www.afdb.org/en/about-us/organisational-structure/board-of-directors,Board of Directors
African Development Bank,AfDB,Development bank/IFI,Finance & development,Regional,Ivory Coast,1964,https://www.afdb.org,https://www.afdb.org/en/about-organisational-structure/list-afdb-group-board-members,Board Members list
African Development Bank,AfDB,Development bank/IFI,Finance & development,Regional,Ivory Coast,1964,https://www.afdb.org,https://www.afdb.org/en/about-us/organisational-structure/departments-and-complexes,Departments and Complexes
African Export-Import Bank,Afreximbank,Development bank/IFI,Finance & development,Regional,Egypt,1993,https://www.afreximbank.com,https://www.afreximbank.com/our-bank/about-us/board-of-directors/,Board of Directors
African Export-Import Bank,Afreximbank,Development bank/IFI,Finance & development,Regional,Egypt,1993,https://www.afreximbank.com,https://www.afreximbank.com/our-bank/about-us/management-team/,Management Team
Arab Bank for Economic Development in Africa,BADEA,Development bank/IFI,Finance & development,Regional,Sudan,1974,https://www.badea.org,https://www.badea.org/board-of-directors-2/,Board Of Directors
Arab Bank for Economic Development in Africa,BADEA,Development bank/IFI,Finance & development,Regional,Sudan,1974,https://www.badea.org,https://www.badea.org/leadership-top-management-team/,Top Management team
Arab Fund for Economic and Social Development,AFESD,Development bank/IFI,Finance & development,Regional,Kuwait,1968,https://www.arabfund.org,https://www.arabfund.org/introduction/organization-management/,Organization & Management
